 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\11Li_silicon.txt

 Ion = Lithium [3] , Mass = 11,04372 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 300,00 MeV   3,336E+01  1,650E-02    5,06 mm   208,58 um    63,65 um  
 325,00 MeV   3,132E+01  1,534E-02    5,83 mm   236,06 um    73,00 um  
 350,00 MeV   2,954E+01  1,434E-02    6,65 mm   263,71 um    82,90 um  
 375,00 MeV   2,797E+01  1,347E-02    7,52 mm   291,61 um    93,33 um  
 400,00 MeV   2,659E+01  1,270E-02    8,44 mm   319,79 um   104,29 um  
 450,00 MeV   2,424E+01  1,141E-02   10,41 mm   425,36 um   127,74 um  
 500,00 MeV   2,232E+01  1,036E-02   12,55 mm   524,17 um   153,16 um  
 550,00 MeV   2,072E+01  9,499E-03   14,88 mm   620,18 um   180,50 um  
 600,00 MeV   1,936E+01  8,773E-03   17,37 mm   715,11 um   209,68 um  
 650,00 MeV   1,820E+01  8,154E-03   20,04 mm   809,82 um   240,65 um  
 700,00 MeV   1,720E+01  7,619E-03   22,86 mm   904,79 um   273,36 um  
 800,00 MeV   1,553E+01  6,742E-03   28,98 mm     1,26 mm   343,81 um  
 900,00 MeV   1,421E+01  6,052E-03   35,71 mm     1,58 mm   420,64 um  
   1,00 GeV   1,314E+01  5,494E-03   43,03 mm     1,89 mm   503,52 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  5,6264E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
